element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mo,1,"=""334.0163""","=""""","=""334.01633+""","=""240""","=""1.20e+07""",B+,"=""10768.332""","=""40698.382""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""334.4730""","=""""","=""334.47296+""","=""1300""","=""6.04e+07""",B+,"=""11142.784""","=""41031.974""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4G).5p""","=""y 5F*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""334.6828""","=""""","=""334.68284+""","=""30""","=""1.13e+07""",B,"=""25516.912""","=""55387.359""","=""4d5.(2I).5s""","=""a 3I""","=""5""","=""""","=""100*""","=""5""",11,11,,"=""T5293""","=""L10250""",
Mo,1,"=""334.7004""","=""""","=""334.70040+""","=""320""","=""2.72e+07""",B+,"=""11142.784""","=""41011.664""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4G).5p""","=""y 5F*""","=""1""",3,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""335.8118""","=""""","=""335.81186+""","=""1600""","=""7.59e+07""",A,"=""11454.362""","=""41224.386""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4G).5p""","=""y 5F*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""336.1366""","=""""","=""336.13673+""","=""250""","=""1.38e+07""",B+,"=""12346.280""","=""42087.533""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4G).5p""","=""y 3F*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""336.3777""","=""""","=""336.37773+""","=""950""","=""2.74e+07""",B+,"=""10768.332""","=""40488.277""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""336.3871""","=""""","=""336.38714+""","=""64""","=""1.39e+07""",B,"=""20950.853""","=""50669.967""","=""4d5.(4D).5s""","=""a 3D""","=""2""","=""""","=""34*""","=""3""",5,7,,"=""T5293""","=""L10250""",
Mo,1,"=""337.3811""","=""""","=""337.38112+""","=""31""","=""2.03e+07""",B,"=""22244.375""","=""51875.934""","=""4d4.5s2""","=""a 3P""","=""1""","=""""","=""48*""","=""1""",3,3,,"=""T5293""","=""L10250""",
Mo,1,"=""337.5219""","=""""","=""337.52195+""","=""65""","=""1.38e+07""",B,"=""18229.152""","=""47848.348""","=""4d5.(4P).5s""","=""a 5P""","=""3""","=""""","=""22*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""337.5645""","=""""","=""337.56449+""","=""65""","=""1.57e+07""",B,"=""21618.630""","=""51234.093""","=""4d5.(4D).5s""","=""a 3D""","=""3""","=""""","=""41*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""337.8192""","=""""","=""337.81921+""","=""130""","=""1.88e+07""",B,"=""11142.784""","=""40735.918""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4P).5p""","=""x 5D*""","=""0""",3,1,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""337.8456""","=""""","=""337.84564+""","=""130""","=""3.75e+07""",B+,"=""25548.887""","=""55139.706""","=""4d5.(2I).5s""","=""a 3I""","=""6""","=""""","=""97*""","=""6""",13,13,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""337.9964""","=""""","=""337.99650+""","=""950""","=""4.11e+07""",B+,"=""11454.362""","=""41031.974""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4G).5p""","=""y 5F*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""338.2482""","=""""","=""338.24825+""","=""320""","=""2.66e+07""",B+,"=""11142.784""","=""40698.382""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4P).5p""","=""x 5D*""","=""1""",3,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""338.4609""","=""""","=""338.46095+""","=""1900""","=""7.32e+07""",A,"=""11858.498""","=""41395.523""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4G).5p""","=""y 5F*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""338.5874""","=""""","=""338.58748+""","=""65""","=""3.3e+07""",B,"=""26635.820""","=""56161.808""","=""4d4.5s2""","=""a 1G""","=""4""","=""4d5.(2H).5p""","=""y 1H*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""338.9793""","=""""","=""338.97934+""","=""160""","=""1.85e+07""",B,"=""18356.491""","=""47848.348""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""""","=""22*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""339.2166""","=""""","=""339.21657+""","=""95""","=""1.97e+07""",B,"=""21153.884""","=""50625.116""","=""4d5.(4G).5s""","=""a 3G""","=""4""","=""""","=""33*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""339.3649""","=""""","=""339.36489+""","=""160""","=""2.08e+07""",B,"=""21343.204""","=""50801.556""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""""","=""37*""","=""5""",11,11,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""340.4335""","=""""","=""340.43348+""","=""640""","=""2.10e+07""",A,"=""11858.498""","=""41224.386""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4G).5p""","=""y 5F*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""340.6011""","=""""","=""340.60126+""","=""1300""","=""2.07e+06""",B,"=""16784.522""","=""46135.945""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""""","=""5*""","=""4""",11,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""341.3367""","=""""","=""341.33666+""","=""89""","=""1.25e+07""",B,"=""21343.204""","=""50631.392""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""4d4.5s.(4G).5p""","=""w 3G*""","=""5""",11,11,,"=""T5293""","=""L10250""",
Mo,1,"=""341.5272""","=""""","=""341.52718+""","=""35""","=""1.83e+07""",B,"=""26635.820""","=""55907.670""","=""4d4.5s2""","=""a 1G""","=""4""","=""""","=""102*""","=""4""",9,9,,"=""T5293""","=""L10250""",
Mo,1,"=""341.5613""","=""""","=""341.56128+""","=""25""","=""1.29e+07""",B,"=""26638.742""","=""55907.670""","=""4d5.(2D).5s""","=""b 3D""","=""3""","=""""","=""102*""","=""4""",7,9,,"=""T5293""","=""L10250""",
Mo,1,"=""341.5650""","=""""","=""341.56501+""","=""9""","=""5.2e+05""",B,"=""10768.332""","=""40036.940""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4D).5p""","=""z 3D*""","=""1""",5,3,,"=""T5293""","=""L10250""",
Mo,1,"=""341.6142""","=""""","=""341.61425+""","=""45""","=""2.45e+07""",B,"=""27765.594""","=""57029.984""","=""4d5.(2F).5s""","=""b 3F""","=""4""","=""""","=""107*""","=""5""",9,11,,"=""T5293""","=""L10250""",
Mo,1,"=""341.8522""","=""""","=""341.85221+""","=""240""","=""1.41e+07""",B+,"=""11454.362""","=""40698.382""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""341.9685""","=""""","=""341.96855+""","=""32""","=""1.15e+07""",B,"=""23668.079""","=""52902.150""","=""4d4.5s2""","=""a 3F""","=""3""","=""""","=""64*""","=""3""",7,7,,"=""T5293""","=""L10250""",
Mo,1,"=""342.0036""","=""""","=""342.00359+""","=""250*""","=""3.3e+07""",B,"=""18356.491""","=""47587.567""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""""","=""19*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""342.2263""","=""""","=""342.22627+""","=""10""","=""4.3e+06""",B,"=""22875.942""","=""52087.998""","=""4d4.5s2""","=""a 3P""","=""2""","=""""","=""52*""","=""2""",5,5,,"=""T5293""","=""L10250""",
Mo,1,"=""342.2308""","=""""","=""342.23076+""","=""192""","=""2.52e+07""",B,"=""20157.802""","=""49369.475""","=""4d5.(4D).5s""","=""b 5D""","=""4""","=""""","=""29*""","=""4""",9,9,,"=""T5293""","=""L10250""",
