element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,2,"=""218.2580""","=""218.2569""","=""4""","=""1.15e+07""",C,"=""212161.881""","=""257965.11""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""L10621""",
O,2,"=""""","=""218.6338""","=""""","=""9.17e+04""",C,"=""165988.46""","=""211712.732""","=""2s.2p4""","=""2D""","=""5/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",6,6,,"=""T6172""","=""""",
O,3,"=""""","=""218.7016""","=""""","=""7.85e+05""",C,"=""283759.70""","=""329469.80""","=""2p4""","=""3P""","=""2""","=""2s2.2p.(2P*).3d""","=""3P*""","=""2""",5,5,,"=""T5376,T5791,LS""","=""""",
O,3,"=""""","=""218.9045""","=""""","=""1.04e+06""",C,"=""283977.40""","=""329645.14""","=""2p4""","=""3P""","=""1""","=""2s2.2p.(2P*).3d""","=""3P*""","=""0""",3,1,,"=""T5376,T5791,LS""","=""""",
O,2,"=""219.0481""","=""219.0469""","=""4""","=""1.13e+07""",C,"=""212161.881""","=""257799.93""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""L10621""",
O,3,"=""""","=""219.1985""","=""""","=""2.60e+05""",C,"=""283977.40""","=""329583.89""","=""2p4""","=""3P""","=""1""","=""2s2.2p.(2P*).3d""","=""3P*""","=""1""",3,3,,"=""T5376,T5791,LS""","=""""",
O,2,"=""219.5464""","=""219.5482""","=""3""","=""1.13e+07""",C,"=""212161.881""","=""257695.74""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""L10621""",
O,2,"=""""","=""219.5880""","=""""","=""8.36e+04""",C,"=""165996.50""","=""211522.117""","=""2s.2p4""","=""2D""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",4,4,,"=""T6172""","=""""",
O,3,"=""""","=""219.6537""","=""""","=""3.45e+05""",C,"=""284071.90""","=""329583.89""","=""2p4""","=""3P""","=""0""","=""2s2.2p.(2P*).3d""","=""3P*""","=""1""",1,3,,"=""T5376,T5791,LS""","=""""",
O,3,"=""""","=""219.7483""","=""""","=""2.58e+05""",C,"=""283977.40""","=""329469.80""","=""2p4""","=""3P""","=""1""","=""2s2.2p.(2P*).3d""","=""3P*""","=""2""",3,5,,"=""T5376,T5791,LS""","=""""",
O,2,"=""221.5701""","=""221.5713""","=""1""","=""1.15e+06""",D,"=""214169.920""","=""259288.07""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",2,4,,"=""T5723LS""","=""L10621""",
O,2,"=""""","=""221.8651""","=""""","=""2.30e+05""",E,"=""214229.671""","=""259288.07""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",4,4,,"=""T5723LS""","=""L11267""",
O,2,"=""221.8679""","=""221.8674""","=""1""","=""1.38e+06""",D,"=""214229.671""","=""259287.61""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",4,6,,"=""T5723LS""","=""L10621""",
O,2,"=""""","=""222.247""","=""""","=""3.06e+06""",D,"=""229947.07""","=""274928.0""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""5/2""",6,6,,"=""T5723LS""","=""""",
O,2,"=""""","=""222.307""","=""""","=""3.27e+05""",E,"=""229947.07""","=""274916.0""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",6,4,,"=""T5723LS""","=""""",
O,2,"=""""","=""222.353""","=""""","=""2.18e+05""",E,"=""229968.44""","=""274928.0""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""5/2""",4,6,,"=""T5723LS""","=""""",
O,2,"=""""","=""222.412""","=""""","=""2.94e+06""",D,"=""229968.44""","=""274916.0""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",4,4,,"=""T5723LS""","=""""",
