element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
F,2,"=""""","=""""","=""411.8752""","=""""","=""2.7e+07""",D,"=""211900.26""","=""236172.61""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",3,5,,"=""T1115CA,LS""","=""""",
F,2,"=""411.921""","=""""","=""411.9207""","=""150""","=""1.3e+08""",D,"=""211900.26""","=""236169.93""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",3,3,,"=""T1115CA,LS""","=""L369""",
F,2,"=""""","=""""","=""415.775""","=""""","=""2.10e+00""",C,"=""20873.4""","=""44918.1""","=""2s2.2p4""","=""1D""","=""2""","=""2s2.2p4""","=""1S""","=""0""",5,1,E2,"=""T333""","=""""",
F,2,"=""429.917""","=""""","=""429.9165""","=""200""","=""1.7e+08""",D,"=""215069.59""","=""238323.38""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""",5,7,,"=""T1115CA""","=""L369""",
F,2,"=""444.653""","=""""","=""444.6527""","=""160""","=""1.97e+08""",C',"=""232063.34""","=""254546.49""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",3,5,,"=""T1115CA""","=""L369""",
F,2,"=""""","=""""","=""444.6689""","=""""","=""3.67e+07""",C',"=""232064.16""","=""254546.49""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",5,5,,"=""T1115CA""","=""""",
F,2,"=""444.672""","=""""","=""444.6721""","=""170""","=""2.09e+08""",C',"=""232064.16""","=""254546.33""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""","=""2s2.2p3.(4S*).4f""","=""3F""","=""3""",5,7,,"=""T1115CA""","=""L369""",
F,2,"=""""","=""""","=""444.7117""","=""""","=""1.03e+06""",C',"=""232066.32""","=""254546.49""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",7,5,,"=""T1115CA""","=""""",
F,2,"=""""","=""""","=""444.7148""","=""""","=""2.62e+07""",C',"=""232066.32""","=""254546.33""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""3""",7,7,,"=""T1115CA""","=""""",
F,2,"=""444.719""","=""""","=""444.7188""","=""180""","=""2.35e+08""",C',"=""232066.32""","=""254546.13""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""4""",7,9,,"=""T1115CA""","=""L369""",
F,2,"=""""","=""""","=""478.945""","=""""","=""3.81e+00""",C,"=""0.0""","=""20873.4""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1D""","=""2""",5,5,M1,"=""T335""","=""""",
F,2,"=""""","=""""","=""478.945""","=""""","=""9.6e-05""",D,"=""0.0""","=""20873.4""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1D""","=""2""",5,5,E2,"=""T333""","=""""",
F,2,"=""""","=""""","=""486.899""","=""""","=""1.21e-02""",C,"=""341.0""","=""20873.4""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1D""","=""2""",3,5,M1,"=""T335""","=""""",
F,2,"=""""","=""""","=""486.899""","=""""","=""1.3e-05""",D,"=""341.0""","=""20873.4""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1D""","=""2""",3,5,E2,"=""T333""","=""""",
F,2,"=""""","=""""","=""490.456""","=""""","=""4.1e-06""",D,"=""489.9""","=""20873.4""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p4""","=""1D""","=""2""",1,5,E2,"=""T333""","=""""",
F,3,"=""""","=""""","=""572.12""","=""""","=""2.80e-02""",C,"=""34087.4""","=""51561.4""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""3/2""",6,4,M1,"=""T335""","=""""",
F,3,"=""""","=""""","=""572.12""","=""""","=""1.5e-01""",D,"=""34087.4""","=""51561.4""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""3/2""",6,4,E2,"=""T335""","=""""",
F,3,"=""""","=""""","=""572.15""","=""""","=""8.8e-02""",D,"=""34087.4""","=""51560.6""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""1/2""",6,2,E2,"=""T335""","=""""",
