element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zr,3,"=""208.1479""","=""208.14814""","=""2000""","=""7.15e+07""",,"=""55557.60""","=""103585.01""","=""4d.5p""","=""3F*""","=""2""","=""4d.5d""","=""1F""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""208.1738""","=""208.17362""","=""50000""","=""3.39e+08""",,"=""62117.41""","=""110138.94""","=""4d.5p""","=""1P*""","=""1""","=""4d.5d""","=""3P""","=""2""",3,5,,"=""T6869""","=""L9267""",
Zr,3,"=""208.3669""","=""208.36704""","=""2000""","=""2.81e+07""",,"=""57348.86""","=""105325.82""","=""4d.5p""","=""3D*""","=""3""","=""4d.(2D<3/2>).6s""","=""2[3/2]""","=""2""",7,5,,"=""T6869""","=""L9267""",
Zr,3,"=""208.6779""","=""208.67794""","=""8000000""","=""3.35e+08""",,"=""5743.39""","=""53648.88""","=""4d2""","=""1D""","=""2""","=""4d.5p""","=""1D*""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""208.9450""","=""208.94512""","=""150000""","=""1.55e+08""",,"=""57348.86""","=""105193.10""","=""4d.5p""","=""3D*""","=""3""","=""4d.5d""","=""3G""","=""4""",7,9,,"=""T6869""","=""L9267""",
Zr,3,"=""209.6951""","=""209.69517""","=""200000""","=""5.82e+08""",,"=""56437.77""","=""104110.90""","=""4d.5p""","=""3D*""","=""2""","=""4d.5d""","=""3D""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""210.0271""","=""210.02708""","=""2000""","=""3.01e+06""",,"=""8839.97""","=""56437.77""","=""4d2""","=""3P""","=""2""","=""4d.5p""","=""3D*""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""210.2284""","=""210.2283""","=""300000""","=""4.06e+07""",,"=""8063.63""","=""55615.87""","=""4d2""","=""3P""","=""0""","=""4d.5p""","=""3D*""","=""1""",1,3,,"=""T6869""","=""L9267""",
Zr,3,"=""210.2459""","=""210.2460""","=""150""","=""1.99e+07""",,"=""62590.70""","=""110138.94""","=""4d.5p""","=""1F*""","=""3""","=""4d.5d""","=""3P""","=""2""",7,5,,"=""T6869""","=""L9267""",
Zr,3,"=""210.3092""","=""210.30884""","=""300000""","=""3.61e+08""",,"=""57348.86""","=""104882.90""","=""4d.5p""","=""3D*""","=""3""","=""4d.5d""","=""3D""","=""3""",7,7,,"=""T6869""","=""L9267""",
