element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Co,3,"=""183.762815""","=""0.000019""","=""183.762807""","=""0.000017""","=""25000""","=""3.4e+08""",C+,"=""72084.644""","=""126502.620""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""",10,12,,"=""u37""","=""L19543c139""",
Co,3,"=""""","=""""","=""183.7816""","=""0.0010""","=""""","=""8.8e+01""",C,"=""57699.0""","=""112111.42""","=""3d7""","=""b 2D1""","=""5/2""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""",6,8,E2,"=""u37""","=""""",
Co,3,"=""183.78391""","=""0.00005""","=""183.78395""","=""0.00004""","=""3400""","=""2.0e+08""",C+,"=""77473.535""","=""131885.250""","=""3d6.(3G).4s""","=""a 4G""","=""5/2""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""",6,6,,"=""u37""","=""L19543c139""",
Co,3,"=""""","=""""","=""183.7915""","=""0.0008""","=""""","=""1.9e+01""",C,"=""57699.0""","=""112108.471""","=""3d7""","=""b 2D1""","=""5/2""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""",6,6,E2,"=""u37""","=""""",
Co,3,"=""""","=""""","=""183.8283""","=""0.0004""","=""""","=""2.0e+01""",C,"=""37317.85""","=""91716.45""","=""3d7""","=""a 2F""","=""7/2""","=""3d6.(1D2).4s""","=""d 2D""","=""5/2""",8,6,E2,"=""u37""","=""""",
Co,3,"=""183.8602""","=""0.0005""","=""183.86037""","=""0.00024""","=""76""","=""2.6e+07""",D+,"=""89288.021""","=""143677.12""","=""3d6.(3D).4s""","=""c 2D""","=""3/2""","=""3d6.(1D2).4p""","=""x 2P*""","=""3/2""",4,4,,"=""u37""","=""L19543c140""",
Co,2,"=""183.927620""","=""0.000017""","=""183.927618""","=""0.000014""","=""1800""","=""2.7e+08""",C+,"=""41314.150""","=""95683.364""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4F).5p""","=""5D*""","=""3""",7,7,,"=""T6999""","=""L9429c118""",
Co,2,"=""183.937250""","=""0.000014""","=""183.937239""","=""0.000010""","=""34000""","=""8.e+07""",D,"=""11651.277""","=""66017.647""","=""3d8""","=""a 1D""","=""2""","=""3d7.(2G).4p""","=""z 1F*""","=""3""",5,7,,"=""T6999""","=""L9429c118""",
Co,3,"=""183.95219""","=""0.00023""","=""183.95217""","=""0.00014""","=""2500""","=""2.1e+08""",C+,"=""86285.104""","=""140647.06""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(3D).4p""","=""w 4D*""","=""7/2""",10,8,,"=""u37""","=""L19543c139""",
Co,3,"=""183.96201""","=""0.00018""","=""183.96229""","=""0.00005""","=""480""","=""3.5e+07""",D+,"=""73727.954""","=""128086.920""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""",6,6,,"=""u37""","=""L19543c139""",
Co,2,"=""184.022730""","=""0.000014""","=""184.02268""","=""0.00003""","=""5400""","=""4.2e+08""",C+,"=""40695.028""","=""95036.155""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4F).5p""","=""5D*""","=""4""",9,9,,"=""T6999""","=""L9429c118""",
Co,3,"=""184.0985""","=""0.0005""","=""184.09872""","=""0.00014""","=""8""","=""9.e+04""",D,"=""86328.378""","=""140647.06""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""3d6.(3D).4p""","=""w 4D*""","=""7/2""",8,8,,"=""u37""","=""L19543c140""",
Co,2,"=""184.13299""","=""0.00005""","=""184.132954""","=""0.000010""","=""630""","=""1.6e+06""",E,"=""10708.331""","=""65016.915""","=""3d7.(4F).4s""","=""b 3F""","=""3""","=""3d7.(2G).4p""","=""y 3F*""","=""2""",7,5,,"=""T6999""","=""L9429c118""",
